formatted_address,name,photos,place_id,rating,types,user_ratings_total,lat,lng
"Kalibening, Tingkir, Salatiga City, Central Java 50744, Indonesia",Belik Siluwing & Kebun Belajar,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115889776654964760754"">A Google User</a>'], 'photo_reference': 'AUGGfZktJkGBkoUhy1VaIsgKPvJdQD-dRriY9ymRJFOXPaKXpcFQ_VZOEn3sI3lqbDsDxSbPWUzV_cCPywmuqHNd9rA8ONsH2MBQRqEIwPvty9jML9MCo-0VXpt8za-NO_gE94s87bNSZCoFYh9OY2xIxH_Ih1kgTit7hUmJdxLdiHWtHZ-M', 'width': 3024}]",ChIJw7K1dbN3ei4Rjoc_aasEfQk,4.4,"['tourist_attraction', 'campground', 'park', 'lodging', 'point_of_interest', 'establishment']",11.0,-7.3467943,110.5235234
"MGXC+V5V, Jl. Sitalang, Krajan, Kauman Kidul, Kec. Sidorejo, Kota Salatiga, Jawa Tengah 50712, Indonesia",Air terjun joko tingkir,"[{'height': 5152, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102932929178918923486"">A Google User</a>'], 'photo_reference': 'AUGGfZlOxZVGyepbDe6qbdetgcbgPHlaUEdMzIRiF2vUscfU95foY8nRyH4fHrLgBFEsI1Na-wq2mLqy-QQzSWk2KUXu5nutM-C-Sclfa1S_Ixws2TinBujCOzRbO1CcFTANDssZ7hpUV8ukWzkZK11a5z1mbd7xQbc7N5jrvZGUzVC5BxZS', 'width': 3864}]",ChIJCSoqFfx5ei4RMQc_uDG6sFo,4.5,"['tourist_attraction', 'point_of_interest', 'establishment']",28.0,-7.300261799999999,110.5204097
"JGWJ+53W, Jl. Makadam, Tingkir Lor, Kec. Tingkir, Kota Salatiga, Jawa Tengah 50746, Indonesia",Omah manuk pak Salim,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105272954451829464004"">A Google User</a>'], 'photo_reference': 'AUGGfZl3jExXNGnlkiYJ-Wn5rMihbkWWrnU8C5hZo1QkyqUHG2c2x0m6HAMbt1A45aWodz5EPNgfwbeyfTU_7AfD9X4s-xWMVuF9Smha40Ev8UOkWoUU6RJqqxP0w-74PGM3tPPAplaJWFFRdzXZdyJa1EWoCOHs4n2UI1rI2msF6KMouaBA', 'width': 1080}]",ChIJo6hmtIx3ei4RqBKTrBa5VBs,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,-7.3545221,110.5301958
"PF6X+X85, Jl. Mutiara, Area Sawah, Bugel, Kec. Sidorejo, Kota Salatiga, Jawa Tengah, Indonesia",Tempat nyore salatiga,"[{'height': 4624, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114442929466415058355"">Koko Widi</a>'], 'photo_reference': 'AUGGfZlxP3J7f0HixMnciOOGGDaViTmtoptBo7w955YK8Yhhw_TDEwigsPcHnmjrGQUnlBpFVzaxqPbr_Vqjsquo9v75ARYkoaas6lc5qke8zo54KG2LI5L91s-UeDJ1oxQ8tZk_ZtCDQGc4dcu5ZXhCKn6fiyf9GsMRGTLozruWCNYBl6Lh', 'width': 2604}]",ChIJ-zkJKlWDcC4RrQHkRX5xMaM,5.0,"['tourist_attraction', 'point_of_interest', 'establishment']",4.0,-7.287610000000001,110.4983533
"JGJ7+HMQ, Cebongan, Argomulyo, Salatiga City, Central Java 50736, Indonesia","Kos""an chill vibes","[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111934008532852541393"">alvian gernald</a>'], 'photo_reference': 'AUGGfZlbQ9Q6TnkzIrx_x_hKfF9aM6j0E3M910W4Aa5OE_WDKRG08xatCwo1WBekru2EAHsGCcDgIvdwok2j04NFb3TznbjBCecPvZjdmhNgirBcnpduPqCRXdEeoIQMrB7CtZo0NXgi_-Mvdy36rikbKpHSva452AymLv_V5MAWo6erJvN3', 'width': 2048}]",ChIJr06xrMN5ei4RzEYVw2jEU10,4.5,"['tourist_attraction', 'point_of_interest', 'establishment']",2.0,-7.3685481,110.5142457
"JGRG+5W7, Jl. Kyai Hasyim, RT.01/RW.01, Tingkir Lor, Kec. Tingkir, Kota Salatiga, Jawa Tengah 50746, Indonesia",Desa Wisata Tingkir Lor,"[{'height': 1440, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107740390796330592491"">Paulus Sumaryanto</a>'], 'photo_reference': 'AUGGfZkc9bHIyPxQvMT8W1uOGSFaQk4ErZk2BR2eSDHPyeu39pTRjlPCvmBItn_hWp-UQdk_hWYTo7MnFDP4hDIGgUU_NFHLkpCc3CKmsnG0f5pvOLFGxHTj4NxkpieGDjW6-kNL6ftWAcqRInYkysc2WV1OM4Yz1fXRXUcsBmIMn4pxo6dP', 'width': 2560}]",ChIJ2X3Nyf53ei4Ru60s6Fgn9PI,4.6,"['tourist_attraction', 'point_of_interest', 'establishment']",27.0,-7.359594599999999,110.5272852
"PG49+2M9, Jl. Sitalang, Krajan, Kauman Kidul, Kec. Pabelan, Kota Salatiga, Jawa Tengah 50712, Indonesia",Sitalang River Tubing,"[{'height': 1600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111123577447061386569"">A Google User</a>'], 'photo_reference': 'AUGGfZkfw2szRL0yWlgzWbvmOlLE_bIrh9pOSOqc5aiXuN0CMM3ndaelaZRckH1SAkl65W9JFbRmuE3cdcKTFu-nKqQJXRIG_o_MSyNfqYj1lnFjw3Wh7E5ENMIbS42pr4Fd5KmFu96P0UzpOQrea6DciBKJYVtr7kcxEZ-fhhHeWbNdXCSx', 'width': 739}]",ChIJMb5h69qDcC4RKUH5uSnpkA0,4.5,"['tourist_attraction', 'point_of_interest', 'establishment']",11.0,-7.294958500000001,110.5192242
"MF9X+QVR, Alun alun pancasila, Kalicacing, Sidomukti, Salatiga City, Central Java 50724, Indonesia",Alun-Alun Pancasila,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113918756495856927734"">Jatu Pinilih</a>'], 'photo_reference': 'AUGGfZlxwSghBWBkJUpYuh0AqHiokjY7OHtxzdmjGTCtwZWkZxrGf_BSHUL72lwFW9igYRSHha35DHu_oqs0AIZckMjbVubzjXWrDjh4JX0GU4tMb9Iy0W_AImkpRZE9fpYUUILFenxYDCzc7TUoIx1hI6J3cZ3H_rfyRyawmmO1Bm8rE399', 'width': 4000}]",ChIJJclzyzF4ei4R0KRou0pr_j8,4.6,"['park', 'point_of_interest', 'establishment']",8873.0,-7.330523599999999,110.499628
"JGGG+GFQ, Cebongan, Tegalwaton, Kec. Tengaran, Kabupaten Semarang, Jawa Tengah 50775, Indonesia",Senjoyo Spring,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100875107608378144394"">A Google User</a>'], 'photo_reference': 'AUGGfZkzCplielTHXzBniO-lduY8K4G3_KM3cEipTptnw0KYMAGkKvWTqkEAs_LhBB3g4RIPhBpQNpz2HB0URNOiNcR5PvRdVQvgg3zmIhNKhzlEwFAZZc0sUSmhAFaIS7oNebdo7Zukt4kVp-sRV9VwnrI03tZg8APPjumXvVzzAjZj1F6y', 'width': 4608}]",ChIJf5l0F1R3ei4RDTjSEYv3adI,4.4,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",6308.0,-7.373664700000001,110.5262224
"JFGW+P4C, Jl. Randusari IV, Randuacir, Kec. Argomulyo, Kota Salatiga, Jawa Tengah 50735, Indonesia",Taman Eduwisata Randuacir,"[{'height': 4624, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117579522720693477369"">garin arivian</a>'], 'photo_reference': 'AUGGfZlBnJqUCPpPr4XiVkK_KyNC_pj245u3PrvmUE5kzKifw1Ccsgy6IxO19CddNhclr24AkPefjwgWpONAlVgsTVtSfFksRytpFWjeatEsDGPyDetr4afSIGxywhk84M_Jt9U3hvMaha2jI5JbLdH1fTGywRO0fluZhneMDd5lNlTgAQ4', 'width': 2604}]",ChIJsWM1Lh55ei4RlO1KKrz4MSo,4.9,"['tourist_attraction', 'point_of_interest', 'establishment']",17.0,-7.373184199999999,110.4952587
"Sidorejo Lor, Sidorejo, Salatiga City, Central Java, Indonesia",Taman Cerdas Salatiga,"[{'height': 2604, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114095669339920344105"">agungdian rengganis</a>'], 'photo_reference': 'AUGGfZltCNSn5sA-ffci4XBUm9e-EyGNzVFwX8MT6ywbJnV1_sTNQaTufs2coRV_Z0i_Q6YcBZP3kpDvViRd6xVWYjAGutnBl3LaH4LyFbiLOh-XaZcZ7h7YtUmwh48lpROHQMPExNhKH42uR729D9CeNIUlM9ODIr2S2S-w8yorhcRlHXcV', 'width': 4624}]",ChIJSx89sLd5ei4RvNUP1Dmqg2o,4.5,"['park', 'point_of_interest', 'establishment']",674.0,-7.307253800000001,110.4891124
"MGQ4+F78, Jl. Patimura, Salatiga, Kec. Sidorejo, Kota Salatiga, Jawa Tengah, Indonesia",Taman Wisata Religi Salatiga,"[{'height': 1576, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102389792627252174779"">adhitya dwi putra</a>'], 'photo_reference': 'AUGGfZnn-TF7wYQnsawVUn8xXyZZzbrgG52jANGnWJse93N88tUtXcGoCv0ba5AbLayVoilWozKCYH4y8PRzup7aArZXyDND6qJQ5jnpPr7B9ng5aLqCm3IfZlDOcrnac9JyR9Rp_LWS-DhcTR6AOEAHE7Phob4hd7ISzla3sTqk4vLFmay9', 'width': 2890}]",ChIJe6nIldp5ei4RRY4UZ2vcVZc,4.1,"['park', 'point_of_interest', 'establishment']",8.0,-7.3113426,110.5057187
